species,model_tag,model_label,annotation,best_layer,test_auprc,test_auroc,model_path,feature_path,model_bytes,model_sha256,source_pickle_sha256,xgboost_version,num_features,num_trees
human,1m_model,1M,CDS,layer_024,0.958248197210942,0.9880697116259792,models/human/1m_model/CDS.json,data/human/features/1m_model__layer_024.npy,4329143,d18130fe30573a1a52a5a154013570ad91805449b40c8626186e43c6657bd709,44b9e7e78ab2693a72864d8c742f286eac6c9412d4b2706db28b26f56bdc4d8e,3.2.0,576,5000
human,1m_model,1M,cCRE,layer_020,0.4358389686724437,0.7758825646347988,models/human/1m_model/cCRE.json,data/human/features/1m_model__layer_020.npy,7424825,3264c4851e5868b8592de9414e7267d10f2b6f8fa2daaaaa5a4bad89aa0552fc,8e578ecaa284c6dd0f95836a55ce76e0b6ae9c8035c6006045ea314cd78d14ea,3.2.0,576,5000
human,1m_model,1M,repeat_DNA_transposon,layer_017,0.8830832605291852,0.9654954605242676,models/human/1m_model/repeat_DNA_transposon.json,data/human/features/1m_model__layer_017.npy,5688896,a558ab9c741055981c7dace4a061bdba091c17295bd17ea9fa246ffbbc23f5da,6809385f181448d064b4f4cc7f41bf253ac26e9158ffc70a5c1db4bc0a44a745,3.2.0,576,5000
human,1m_model,1M,repeat_LINE,layer_016,0.90388085081918,0.9729059045777064,models/human/1m_model/repeat_LINE.json,data/human/features/1m_model__layer_016.npy,5481274,aa5098587f9287ef51fca3e05b1c9379601fcb1b76592f402789f774539ddf7b,5ecb5109cfaa58cd544e36df74ccb2bb47b66bf344875bf5794aab386cddf900,3.2.0,576,5000
human,1m_model,1M,repeat_LTR,layer_017,0.9271064838910044,0.9781860294268911,models/human/1m_model/repeat_LTR.json,data/human/features/1m_model__layer_017.npy,4974292,f804b8aee17504b3c360aa7a6a67180831e306d23b66469b8d6f5e991764c8a9,32941eaef9f333a7f92fb04fd0d357dcb7e4a96db1ca83efb72d85d0440a91cd,3.2.0,576,5000
human,1m_model,1M,repeat_SINE,layer_017,0.9602982293100368,0.984514298535831,models/human/1m_model/repeat_SINE.json,data/human/features/1m_model__layer_017.npy,4324534,55f25890354e34a550970b45fa5cfc99a4cd9a59265a88bf10b0cc2f938a1473,e6d6ebb59d235ca7b067ef229e8de8a15362a8a46a2b0e1a469bd7ab0a7c8475,3.2.0,576,5000
human,8kb_model,8 kb,CDS,layer_024,0.9614342796061938,0.9865281694676972,models/human/8kb_model/CDS.json,data/human/features/8kb_model__layer_024.npy,4255093,3842a22caff9d8fd51c28a0dd1e10d1fe54b5fd0b9cd4abe3e7cc0f236aceac6,31e30fdde25a82e068553aedb8908b631680dead521892ccf6f6e598b2ad4d08,3.2.0,576,5000
human,8kb_model,8 kb,cCRE,layer_017,0.4442052325409057,0.7770237957765571,models/human/8kb_model/cCRE.json,data/human/features/8kb_model__layer_017.npy,7393955,9e8ad4e07dd89368e17e64644370a036f24ee44ee25644ad3bbbc14d7cd24547,b85136b230796cbbb7910edeee244b7ff23985143edd5c5c62a4d7c3e7e9d968,3.2.0,576,5000
human,8kb_model,8 kb,repeat_DNA_transposon,layer_017,0.880728951459656,0.9620547354145262,models/human/8kb_model/repeat_DNA_transposon.json,data/human/features/8kb_model__layer_017.npy,5655837,12a681772259979aa4d002df22db626c641268987d87fccc113c594d82dd1a71,823b2a42f0c05df16557d2c3e1d3e9dfcf86fb3e7cb53db8d4155acf311b62f4,3.2.0,576,5000
human,8kb_model,8 kb,repeat_LINE,layer_016,0.8983996423273394,0.9680833455150624,models/human/8kb_model/repeat_LINE.json,data/human/features/8kb_model__layer_016.npy,5481583,f6fb4019c0e6d7054aaa19e8b4a42d2427bd8bc26c1bd0719ed852832c493905,1d7cb824a7805ee3cd74fe7a53680cc968f5f2e71649d87308f7b3247cb65161,3.2.0,576,5000
human,8kb_model,8 kb,repeat_LTR,layer_017,0.9223261079375116,0.9744290963609216,models/human/8kb_model/repeat_LTR.json,data/human/features/8kb_model__layer_017.npy,4957119,301b8b37aee5209b8b8a193cc9ffd7e091693aaa89c27b868ecfff3e75d4e679,fbfb07ee5047f4404818b867313d9c8cff92361667f84defcfa6faa7856fa5a7,3.2.0,576,5000
human,8kb_model,8 kb,repeat_SINE,layer_021,0.957019655945726,0.984104746216611,models/human/8kb_model/repeat_SINE.json,data/human/features/8kb_model__layer_021.npy,4600310,eab54a204ec0d3878e2722a6b656ee6f5f1c632cb078639adc205f8d340da49d,6ec0488035d3007a106e9708ba46dea9c3fcecb1d8da717fa482b48f5119fb6d,3.2.0,576,5000
